Name;Location;Cuisine;Rating;Seating Capacity;Average Meal Price;Marketing Budget;Social Media Followers;Chef Experience Years;Number of Reviews;Avg Review Length;Ambience Score;Service Quality Score;Parking Availability;Weekend Reservations;Weekday Reservations;Revenue
Restaurant 1263;Downtown;French;3.1;82;58.55;2074;21192;2;650;2.230.261.932.027.740;4.7;3.3;No;65;13;1067478.4
Restaurant 1264;Downtown;Mexican;4.8;81;29.33;4259;52093;12;457;19.070.122.287.564.900;1.6;8.8;No;69;9;549679.76
Restaurant 1265;Downtown;Japanese;4.1;78;75.34;3963;45613;5;608;9.369.363.341.895.090;8.1;8.0;Yes;63;42;1317359.73
Restaurant 1266;Suburban;Mexican;3.5;54;29.35;1024;12960;13;131;8.043.336.191.943.370;5.4;4.4;Yes;2;7;367703.25
Restaurant 1267;Suburban;Japanese;4.9;58;70.46;4188;46617;7;454;22.348.770.763.343.100;3.9;3.3;Yes;49;0;918556.31
Restaurant 1268;Rural;French;4.0;42;57.7;2122;28492;11;173;13.495.521.957.724.300;4.2;7.8;No;13;27;554986.2
Restaurant 1269;Downtown;Indian;3.7;85;30.0;6758;73295;5;313;2.999.849.240.114.290;5.5;6.4;No;30;74;586947.75
Restaurant 1270;Downtown;Indian;3.4;79;39.89;4517;53406;18;708;27.350.078.987.900.400;6.0;3.3;Yes;8;72;726839.89
Restaurant 1271;Rural;Italian;3.5;45;45.9;986;8534;6;290;19.142.936.832.645.900;8.4;9.0;No;0;42;471458.0
Restaurant 1272;Downtown;Indian;4.7;83;40.61;6310;71667;3;847;21.043.289.643.575.700;7.9;7.5;No;54;10;766209.36
Restaurant 1273;Downtown;American;4.2;71;36.44;5759;65329;6;140;8.972.164.065.949.580;7.9;9.2;Yes;28;40;595818.43
Restaurant 1274;Suburban;French;4.8;68;61.65;4054;49922;16;277;2.735.011.751.595.450;7.6;4.9;No;38;64;955761.2
Restaurant 1275;Rural;Italian;3.5;40;55.99;2590;25958;3;203;16.473.344.358.615.400;7.8;2.2;No;19;39;507308.72
Restaurant 1276;Rural;Indian;3.2;48;31.52;2865;28288;18;965;18.033.849.990.657.600;7.1;9.3;No;11;2;365589.9
Restaurant 1277;Rural;French;3.0;40;59.66;1201;12935;4;421;26.828.227.153.065.800;8.8;6.4;Yes;33;22;540793.15
Restaurant 1278;Rural;Mexican;4.0;43;33.58;2830;34286;5;410;5.156.258.237.110.670;6.0;6.5;Yes;21;18;335561.78
Restaurant 1279;Suburban;Indian;5.0;64;30.35;3854;43359;9;812;17.358.665.016.982.400;5.7;6.3;No;43;44;452599.0
Restaurant 1280;Suburban;Japanese;4.4;56;72.59;1923;24001;4;383;20.669.166.323.198.700;7.3;5.3;Yes;13;8;906918.7
Restaurant 1281;Downtown;French;3.6;84;55.88;5969;62993;1;530;8.982.750.113.746.330;2.5;3.3;Yes;57;69;1052072.51
Restaurant 1282;Downtown;Italian;4.8;77;47.6;3298;39492;11;762;6.707.510.088.173.410;8.0;6.5;No;62;44;834420.0
Restaurant 1283;Downtown;Mexican;4.6;73;26.76;2075;26727;5;264;18.373.353.417.541.800;9.4;7.5;Yes;58;18;448272.73
Restaurant 1284;Downtown;American;3.0;87;44.98;4633;44687;10;734;18.688.226.438.233.600;3.7;9.2;Yes;70;2;887344.35
Restaurant 1285;Suburban;Mexican;4.6;63;26.99;3144;34437;3;625;1.325.626.264.941.270;6.5;1.6;No;61;43;389925.84
Restaurant 1286;Rural;Indian;3.6;50;30.44;1982;27700;15;591;27.055.781.925.819.500;1.3;3.3;Yes;5;12;356675.48
Restaurant 1287;Suburban;Japanese;3.3;67;71.46;1089;9482;14;998;12.527.114.662.035.100;7.9;8.0;Yes;35;25;1078873.78
Restaurant 1288;Downtown;Mexican;3.5;73;28.81;5466;58603;5;227;17.911.986.866.394.100;6.0;8.0;No;31;19;485609.12
Restaurant 1289;Suburban;American;3.9;51;39.46;1805;26132;8;495;9.667.875.974.637.050;7.1;2.9;No;44;22;461337.2
Restaurant 1290;Rural;Italian;3.8;50;46.31;3352;34896;17;219;5.279.007.637.033.590;2.3;2.7;No;25;40;536815.45
Restaurant 1291;Rural;French;3.6;35;63.23;774;12618;19;205;1.565.069.634.242.310;8.3;4.3;Yes;5;18;513614.14
Restaurant 1292;Suburban;Japanese;3.3;60;71.62;2387;22989;4;619;1.817.370.933.162.990;3.3;1.6;No;33;30;958016.81
Restaurant 1293;Suburban;American;4.5;50;39.01;4150;45225;2;80;2.411.699.640.812.680;7.2;7.6;No;42;5;447039.22
Restaurant 1294;Suburban;Indian;5.0;64;31.89;4905;52670;2;907;16.219.300.607.447.300;6.3;7.0;No;47;34;470008.33
Restaurant 1295;Downtown;Indian;4.6;81;36.53;2304;30569;2;661;11.968.304.493.891.800;6.9;8.7;Yes;49;50;667728.59
Restaurant 1296;Suburban;Indian;3.6;67;38.56;3162;36932;3;689;2.010.591.679.519.230;1.5;4.9;Yes;28;5;581230.96
Restaurant 1297;Suburban;Japanese;3.5;54;68.44;2094;24128;9;876;14.529.379.278.752.000;7.7;6.7;No;5;16;833108.08
Restaurant 1298;Suburban;Mexican;3.4;60;25.28;1129;11614;5;416;1.083.561.809.433.400;8.2;9.6;Yes;0;0;349185.4
Restaurant 1299;Rural;Japanese;3.3;50;67.36;1330;17351;15;277;27.758.699.659.771.700;5.3;9.6;Yes;7;27;765748.79
Restaurant 1300;Rural;Indian;4.1;48;37.51;3590;40614;4;165;1.841.726.982.863.480;4.7;1.6;No;7;43;411076.32
Restaurant 1301;Downtown;American;4.2;70;45.88;6820;72034;3;508;1.001.193.177.503.760;4.1;1.0;No;25;60;727637.9
Restaurant 1302;Downtown;French;4.4;86;55.15;3867;42426;9;573;21.772.783.356.850.200;9.4;9.6;No;21;15;1068248.3
Restaurant 1303;Rural;French;4.4;37;58.37;2126;24304;10;350;25.076.940.348.322.200;7.8;5.8;No;15;3;495926.97
Restaurant 1304;Rural;Japanese;3.6;45;65.68;1600;17807;17;371;23.963.343.886.935.700;7.3;7.3;Yes;9;2;676331.23
Restaurant 1305;Rural;Indian;3.7;40;33.48;3513;36486;8;921;19.988.435.276.007.500;9.3;9.2;No;16;6;320207.16
Restaurant 1306;Suburban;Italian;4.4;68;49.47;2842;37696;19;245;17.990.540.858.268.000;4.1;4.9;Yes;64;59;772929.85
Restaurant 1307;Suburban;Japanese;3.7;60;75.13;917;9120;5;465;2.443.309.207.658.890;6.7;5.0;Yes;52;22;1006379.32
Restaurant 1308;Rural;Indian;3.4;44;30.89;2011;18737;11;474;22.703.055.102.796.600;7.2;2.5;Yes;43;3;319828.33
Restaurant 1309;Suburban;Mexican;3.7;57;33.55;2055;23148;4;915;19.286.927.955.977.000;10.0;9.2;Yes;30;54;441292.75
Restaurant 1310;Suburban;French;3.5;63;59.35;2179;23163;4;232;21.443.014.118.927.300;4.8;6.8;Yes;61;19;838290.6
Restaurant 1311;Downtown;French;3.2;70;63.92;5321;60861;15;886;9.215.646.111.716.530;4.6;2.6;No;21;35;1014869.67
Restaurant 1312;Rural;French;4.7;39;60.65;2508;29919;8;566;54.983.384.551.990.400;1.8;6.0;Yes;24;33;539758.65
Restaurant 1313;Rural;Italian;4.7;36;45.43;4384;50107;13;368;2.827.840.256.897.750;1.9;4.0;No;11;3;384573.49
Restaurant 1314;Suburban;Indian;3.4;67;40.41;792;12876;12;309;2.838.211.737.981.670;5.6;2.3;Yes;28;25;613477.46
Restaurant 1315;Rural;Indian;3.1;41;30.91;1211;13670;2;420;2.469.926.952.451.620;2.5;2.6;No;1;34;286512.74
Restaurant 1316;Downtown;Indian;4.5;71;36.57;5542;57434;1;346;1.430.760.506.263.790;1.7;6.0;No;13;52;587730.68
Restaurant 1317;Downtown;Indian;3.4;87;39.65;2993;32614;14;701;8.768.767.407.492.060;9.7;6.1;No;49;19;787569.85
Restaurant 1318;Downtown;Italian;3.8;90;45.88;4671;51014;8;982;13.933.303.026.433.500;9.6;8.1;No;87;9;937070.48
Restaurant 1319;Rural;American;3.1;36;41.09;2251;26672;16;403;23.155.836.668.919.500;3.9;3.2;Yes;24;5;350211.27
Restaurant 1320;Rural;Japanese;3.5;49;74.07;2163;23299;5;104;1.337.999.912.926.120;8.1;9.2;No;46;29;818667.87
Restaurant 1321;Rural;Japanese;4.6;41;75.85;4514;51153;2;350;24.897.823.576.836.000;8.9;5.7;No;23;2;702282.05
Restaurant 1322;Rural;Indian;4.6;49;37.97;3689;37154;15;717;21.825.332.612.758.000;5.2;2.8;No;11;19;436420.37
Restaurant 1323;Rural;Mexican;3.4;43;28.06;1594;19677;4;364;20.749.490.290.323.200;3.0;4.7;Yes;2;2;276306.11
Restaurant 1324;Downtown;French;3.7;79;62.7;3988;39763;4;952;28.255.921.166.458.300;2.2;9.3;Yes;78;3;1109475.55
Restaurant 1325;Suburban;Italian;3.3;58;52.76;2829;33329;10;749;2.733.540.725.467.950;2.3;5.3;No;44;41;695850.07
Restaurant 1326;Downtown;Mexican;3.1;84;32.7;3767;38402;18;305;2.279.163.667.156.460;8.2;8.9;Yes;73;39;639942.2
Restaurant 1327;Rural;Mexican;5.0;49;34.4;2214;25205;7;230;998.118.833.377.707;4.5;2.4;No;9;38;386254.45
Restaurant 1328;Downtown;Indian;4.3;79;30.96;2295;24139;5;729;2.847.310.561.802.800;7.2;9.2;Yes;39;16;556649.21
Restaurant 1329;Rural;Italian;4.1;48;46.19;3740;37459;4;682;10.678.061.289.173.300;5.8;4.9;No;41;47;507810.95
Restaurant 1330;Rural;Japanese;4.5;48;72.05;2823;36079;15;430;1.431.457.888.286.190;4.6;9.4;Yes;26;28;790178.75
Restaurant 1331;Downtown;French;4.7;81;65.49;7089;72597;18;357;2.566.952.938.421.890;2.1;8.8;Yes;61;3;1204345.82
Restaurant 1332;Rural;Japanese;4.6;41;70.12;4197;42291;17;572;10.216.427.694.296.800;4.0;6.9;No;5;9;662593.21
Restaurant 1333;Suburban;Mexican;3.0;58;35.57;969;15390;6;401;20.965.081.003.005.300;8.6;7.1;No;37;42;471495.17
Restaurant 1334;Rural;French;3.4;49;65.32;1062;16538;1;739;1.644.590.950.828.480;8.3;2.9;Yes;29;8;713863.66
Restaurant 1335;Suburban;American;4.3;53;44.93;3720;37754;3;867;206.008.327.233.227;1.3;6.4;No;8;10;538362.95
Restaurant 1336;Suburban;Mexican;3.8;50;35.01;1619;17335;9;913;28.951.269.274.694.000;2.3;5.9;Yes;39;0;402946.14
Restaurant 1337;Rural;Japanese;5.0;45;74.88;4365;48190;5;172;25.209.106.972.553.000;7.8;4.0;Yes;32;30;762785.96
Restaurant 1338;Downtown;Japanese;4.3;70;74.02;6562;65024;6;528;12.395.565.901.729.300;4.0;5.6;Yes;22;16;1162489.56
Restaurant 1339;Suburban;Indian;4.9;62;37.64;2214;23701;13;609;6.431.856.669.778.920;6.8;9.4;No;53;49;541739.25
Restaurant 1340;Downtown;Japanese;3.4;72;65.27;2394;27758;3;517;2.917.610.832.202.490;6.1;1.0;No;20;63;1047157.67
Restaurant 1341;Suburban;Italian;4.7;61;46.45;3649;37281;3;231;19.629.310.661.641.800;6.9;4.8;No;50;35;641123.35
Restaurant 1342;Rural;Mexican;3.6;38;26.48;3540;42729;5;439;9.327.628.485.267.510;1.5;4.0;Yes;0;17;236891.17
Restaurant 1343;Rural;French;5.0;33;55.26;1355;19289;12;355;20.677.716.874.417.300;9.4;9.7;Yes;11;6;425560.39
Restaurant 1344;Suburban;Japanese;3.3;51;66.28;2418;29440;18;802;6.055.411.380.162.370;1.2;9.8;No;34;25;774394.84
Restaurant 1345;Rural;Indian;4.0;38;40.12;1413;22386;7;305;9.688.049.953.355.920;1.1;6.3;Yes;22;23;350232.84
Restaurant 1346;Suburban;Indian;4.6;69;37.3;1199;13161;12;387;208.157.605.098.091;3.0;6.0;No;50;32;586429.45
Restaurant 1347;Rural;Japanese;3.9;42;68.43;3884;40755;2;553;1.506.193.282.723.210;9.9;9.1;Yes;18;25;652831.38
Restaurant 1348;Downtown;Italian;3.9;83;53.73;7565;81556;16;262;13.127.293.179.192.200;1.7;1.1;Yes;81;28;1015856.08
Restaurant 1349;Rural;Indian;5.0;32;35.37;2894;32386;2;948;21.387.366.247.804.100;8.9;6.1;Yes;30;23;267103.87
Restaurant 1350;Downtown;French;3.9;87;56.56;2742;27749;8;346;26.660.087.919.831.500;2.4;1.2;Yes;71;45;1100191.09
Restaurant 1351;Rural;Mexican;4.2;38;34.73;1330;12741;1;269;21.964.777.481.899.400;2.0;9.7;Yes;34;11;300605.96
Restaurant 1352;Downtown;American;3.1;84;38.73;5756;62746;14;589;16.586.011.015.169.400;8.0;3.9;Yes;47;25;748164.94
Restaurant 1353;Rural;Italian;4.7;39;52.69;1284;22094;10;977;21.471.595.776.965.200;8.6;5.7;Yes;35;24;475268.7
Restaurant 1354;Downtown;Indian;4.3;86;33.2;6674;68107;13;472;22.391.305.393.535.100;8.1;4.8;Yes;48;14;661157.55
Restaurant 1355;Suburban;Mexican;3.8;62;30.5;2315;29781;10;777;24.376.265.505.804.700;3.2;9.0;No;27;42;438849.05
Restaurant 1356;Suburban;American;3.0;50;43.98;875;14088;13;807;12.676.209.592.238.400;8.9;10.0;Yes;35;30;510520.6
Restaurant 1357;Downtown;Japanese;4.2;80;66.72;1780;23887;13;248;7.860.842.481.710.790;1.6;1.6;No;53;33;1193632.67
Restaurant 1358;Rural;Japanese;3.0;34;75.75;2570;28835;1;240;2.204.700.150.531.420;4.1;7.6;No;4;7;577494.5
Restaurant 1359;Downtown;French;3.0;78;55.77;5945;64900;5;964;8.027.119.374.978.980;5.2;4.3;No;37;26;980017.15
Restaurant 1360;Rural;American;4.2;36;40.87;3573;35230;16;178;1.655.036.555.287.250;1.6;2.3;No;12;3;348259.13
Restaurant 1361;Suburban;Japanese;3.4;56;75.08;1815;19378;6;210;10.767.540.826.544.200;6.2;4.6;No;14;11;938169.52
Restaurant 1362;Rural;Japanese;3.4;31;75.4;2999;33767;4;82;1.330.177.607.968.750;6.0;10.0;No;3;30;532729.65
Restaurant 1363;Suburban;Indian;4.3;68;32.55;2151;26517;10;60;16.765.615.190.640.600;9.9;4.2;No;54;19;508833.1
Restaurant 1364;Rural;French;3.1;49;56.58;2830;28800;11;556;2.740.441.581.786.310;6.6;3.5;Yes;37;47;634759.7
Restaurant 1365;Rural;Mexican;3.6;47;32.97;3097;32728;2;493;22.010.592.461.787.500;4.6;8.6;No;30;16;356744.73
Restaurant 1366;Rural;Japanese;3.3;39;65.46;3278;39074;9;264;9.290.917.365.068.460;8.1;8.8;No;29;30;587804.7
Restaurant 1367;Downtown;Italian;4.2;74;50.34;5426;54480;14;803;2.698.618.579.823.770;4.0;4.0;No;65;31;851111.68
Restaurant 1368;Downtown;Italian;4.3;85;53.76;6506;65909;2;542;1.751.357.512.072.210;5.8;3.7;No;70;65;1028888.45
Restaurant 1369;Suburban;Mexican;4.4;54;31.16;2612;33485;5;845;10.106.349.648.804.200;1.5;6.8;Yes;8;27;386021.01
Restaurant 1370;Suburban;American;3.5;64;37.07;2472;30122;12;807;1.818.595.424.998.760;3.9;2.8;No;28;20;543530.58
Restaurant 1371;Downtown;French;3.2;85;60.36;1825;17327;1;239;977.314.182.394.463;5.8;5.4;No;29;49;1138991.33
Restaurant 1372;Suburban;Indian;3.2;53;40.13;1247;17679;19;864;14.183.127.554.518.900;7.3;2.3;No;18;12;495275.26
Restaurant 1373;Downtown;Italian;3.9;83;51.79;6543;67410;12;450;25.138.096.334.624.500;1.9;3.7;Yes;21;26;972705.96
Restaurant 1374;Rural;Italian;4.9;46;52.94;2870;32134;12;891;21.465.388.575.163.600;8.2;3.7;Yes;35;25;562137.66
Restaurant 1375;Suburban;Mexican;3.4;66;28.7;2001;26201;5;633;16.948.548.659.334.600;9.1;7.3;No;52;52;436592.15
Restaurant 1376;Suburban;American;3.5;70;37.07;1234;20352;2;294;10.660.983.532.729.100;3.5;3.5;No;56;33;580538.93
Restaurant 1377;Downtown;American;3.2;85;37.81;3389;37426;14;442;12.054.235.289.879.200;7.9;9.1;No;2;81;737310.18
Restaurant 1378;Suburban;Mexican;4.2;58;30.86;1831;20613;17;132;2.945.591.023.624.480;2.6;9.8;Yes;56;48;422434.31
Restaurant 1379;Suburban;Italian;4.4;51;48.08;3237;34606;15;163;13.573.419.075.166.300;5.7;1.7;Yes;29;9;564444.36
Restaurant 1380;Rural;French;4.3;40;60.96;2261;28223;17;825;20.403.188.766.343.500;8.2;4.6;No;36;18;567154.09
Restaurant 1381;Suburban;Italian;4.7;64;52.79;4522;47037;2;118;1.749.370.469.017.750;4.5;3.7;No;15;49;758754.05
Restaurant 1382;Rural;American;4.0;32;43.08;2730;35626;8;383;5.577.602.190.584.700;1.2;4.2;Yes;18;22;320970.14
Restaurant 1383;Downtown;Indian;3.3;85;31.81;1915;20167;10;862;2.861.686.988.512.790;5.9;3.4;Yes;65;56;616247.01
Restaurant 1384;Suburban;Italian;3.6;70;53.25;2328;30006;3;210;7.198.231.547.444.640;8.6;4.4;Yes;46;11;834270.05
Restaurant 1385;Rural;French;4.3;48;62.4;2165;27364;11;156;21.467.693.602.281.100;2.0;2.3;No;27;23;677146.5
Restaurant 1386;Downtown;Japanese;4.2;75;65.13;6691;73551;9;855;25.275.606.402.278.200;1.3;3.5;No;28;64;1102576.26
Restaurant 1387;Suburban;Italian;4.1;63;45.65;3490;42381;15;496;2.371.836.732.169.300;8.3;7.7;No;26;8;662731.2
Restaurant 1388;Downtown;Mexican;4.4;74;32.11;6605;68829;11;189;2.523.125.793.893.030;3.4;4.1;No;44;44;551677.29
Restaurant 1389;Suburban;Japanese;4.3;54;69.22;2861;29479;3;884;23.493.000.512.517.000;4.3;2.9;No;5;27;834944.21
Restaurant 1390;Downtown;Mexican;4.8;75;26.61;5747;61195;7;409;16.139.304.173.925.400;1.8;2.0;No;62;43;461261.55
Restaurant 1391;Downtown;Mexican;4.2;87;25.49;2302;23707;7;974;2.740.686.480.102.870;1.9;4.1;No;17;47;503878.68
Restaurant 1392;Rural;Mexican;4.6;47;26.75;4189;50249;4;199;2.781.102.722.020.130;6.5;6.8;Yes;39;18;296706.45
Restaurant 1393;Downtown;Italian;3.5;88;55.53;6602;68343;6;979;15.923.871.947.001.400;6.0;3.3;Yes;68;85;1104598.4
Restaurant 1394;Suburban;American;4.4;51;43.0;2370;26604;19;887;17.119.408.741.195.900;3.6;4.8;Yes;9;17;511244.2
Restaurant 1395;Suburban;Japanese;4.8;66;70.8;3263;35052;14;148;17.141.159.923.776.000;5.1;9.6;No;23;53;1057017.1
Restaurant 1396;Rural;French;3.8;30;65.36;2763;31949;4;216;11.972.570.482.561.200;4.5;6.0;Yes;24;11;447126.75
Restaurant 1397;Suburban;American;4.6;58;41.81;2879;35125;19;705;7.873.415.607.774.680;7.3;5.8;Yes;6;8;564690.71
Restaurant 1398;Suburban;Italian;4.4;62;52.98;3742;37733;19;720;11.549.488.072.683.800;8.8;4.7;No;32;35;757601.75
Restaurant 1399;Suburban;Mexican;3.1;53;28.11;1466;17989;17;994;26.102.595.211.491.600;7.9;6.0;No;11;14;356011.97
Restaurant 1400;Downtown;French;4.2;74;61.48;1844;25879;19;861;185.764.056.967.529;1.0;9.9;Yes;59;8;1030695.99
Restaurant 1401;Downtown;Japanese;3.3;87;66.58;5414;61375;12;512;26.254.953.718.011.700;1.9;3.3;No;56;8;1299623.61
Restaurant 1402;Suburban;American;4.9;59;39.45;1127;16371;17;863;23.629.048.437.264.600;4.9;9.5;No;19;45;540693.3
Restaurant 1403;Rural;Indian;4.6;33;30.37;1917;24167;15;946;13.715.362.864.938.400;8.7;2.3;No;14;30;247296.12
Restaurant 1404;Downtown;American;3.2;82;37.38;4970;54595;9;939;9.632.812.511.089.090;3.1;2.0;Yes;72;54;699592.67
Restaurant 1405;Rural;French;3.2;42;55.82;913;7871;16;605;19.180.495.307.794.600;8.9;6.9;Yes;15;5;541421.81
Restaurant 1406;Suburban;Italian;4.2;66;49.27;3358;37642;18;901;28.396.417.640.689.100;2.0;3.3;No;61;57;747333.54
Restaurant 1407;Suburban;Japanese;3.7;57;74.27;984;17938;18;648;25.985.380.169.353.400;1.7;5.0;Yes;22;49;957404.48
Restaurant 1408;Downtown;French;3.1;73;59.16;3168;38155;4;133;24.095.887.314.924.400;9.2;7.6;Yes;6;14;966299.87
Restaurant 1409;Suburban;Mexican;4.1;52;34.15;3546;42281;4;657;24.104.352.044.774.400;2.5;5.8;Yes;27;39;408051.15
Restaurant 1410;Downtown;Japanese;3.8;80;72.22;2196;28940;1;351;18.193.832.385.025.800;5.2;1.1;No;62;9;1280015.02
Restaurant 1411;Suburban;American;3.2;61;40.6;1251;17319;5;289;9.238.159.219.002.340;3.9;3.8;Yes;9;0;554911.25
Restaurant 1412;Suburban;French;4.6;58;57.61;4314;47474;12;266;12.138.614.011.771;2.3;1.6;Yes;14;7;756298.73
Restaurant 1413;Downtown;American;4.8;84;45.14;9024;94729;14;800;19.447.320.969.579.100;6.7;9.3;Yes;57;23;875879.09
Restaurant 1414;Downtown;American;4.5;82;35.6;5804;66988;10;633;12.908.835.623.677.800;9.7;8.2;Yes;6;63;674032.6
Restaurant 1415;Downtown;American;4.6;74;42.58;4552;49216;18;230;24.539.168.975.672.300;6.9;9.9;No;54;47;730500.86
Restaurant 1416;Suburban;Italian;3.4;54;51.83;2884;34391;10;466;14.330.419.028.517.200;4.2;9.0;No;21;35;639421.61
Restaurant 1417;Suburban;American;3.5;68;39.85;2285;26164;16;734;7.847.411.992.305.080;7.4;5.3;No;52;49;626024.75
Restaurant 1418;Rural;Mexican;3.4;40;27.64;2309;25270;6;241;2.456.360.882.583.180;2.3;8.9;Yes;21;2;259571.12
Restaurant 1419;Downtown;Mexican;4.5;78;29.74;3640;44374;3;143;22.453.254.581.822.500;6.2;7.1;Yes;20;69;528280.24
Restaurant 1420;Suburban;Japanese;4.9;52;74.6;2498;28480;15;948;11.328.921.336.382.500;5.2;5.7;Yes;25;37;881687.0
Restaurant 1421;Suburban;Indian;4.4;67;39.2;3043;36804;5;713;2.952.788.074.266.470;4.2;4.3;Yes;14;63;595280.7
Restaurant 1422;Downtown;American;4.8;82;45.36;5375;62951;6;720;1.507.973.809.014.160;7.7;7.1;Yes;61;24;844480.53
Restaurant 1423;Rural;American;4.3;41;38.39;3249;38055;12;376;22.011.516.837.615.100;2.1;6.3;Yes;23;40;370850.63
Restaurant 1424;Downtown;French;3.8;78;59.26;6871;67950;1;857;2.776.121.100.662.460;5.8;6.5;No;51;58;1041306.66
Restaurant 1425;Rural;Italian;3.9;39;45.21;1493;17637;10;514;8.899.914.707.856.800;8.7;4.6;No;15;32;409062.83
Restaurant 1426;Suburban;Indian;3.2;62;40.37;3194;30613;3;483;269.755.447.667.664;2.8;7.7;Yes;54;10;566265.19
Restaurant 1427;Rural;Japanese;3.1;49;68.62;2946;34849;5;379;22.597.821.611.223.600;3.4;1.7;No;36;11;754055.81
Restaurant 1428;Suburban;Indian;4.4;69;34.45;2243;23687;15;576;9.189.069.348.894.070;6.9;7.5;Yes;67;0;550782.95
Restaurant 1429;Downtown;American;3.9;82;44.99;4691;48589;4;168;21.612.804.551.535.900;8.0;7.6;Yes;17;67;833311.53
Restaurant 1430;Downtown;French;4.1;78;60.79;6877;72906;19;70;2.686.439.044.362.110;3.6;5.6;Yes;36;68;1082437.74
Restaurant 1431;Downtown;Italian;4.1;79;51.23;8198;85422;17;70;2.497.538.519.960.320;4.2;3.4;No;74;58;930600.69
Restaurant 1432;Rural;Japanese;3.6;48;66.94;2200;30338;8;365;24.015.174.312.895.300;7.7;5.7;Yes;12;10;725392.86
Restaurant 1433;Suburban;Indian;4.0;55;35.49;3483;42578;5;270;9.033.403.708.331.490;3.6;2.1;Yes;5;29;444427.11
Restaurant 1434;Downtown;Japanese;3.9;76;75.1;3643;40573;4;667;9.765.602.763.143.580;7.0;3.6;No;32;32;1272897.95
Restaurant 1435;Downtown;American;3.8;84;41.15;2717;33003;19;794;18.692.911.374.625.500;2.4;4.8;Yes;35;39;789954.15
Restaurant 1436;Suburban;Japanese;4.6;68;67.81;1769;21632;9;114;1.950.365.041.628.410;4.7;7.1;No;20;21;1031469.83
Restaurant 1437;Downtown;French;3.9;83;55.34;6804;71994;13;198;2.859.060.159.046.330;7.2;2.7;No;51;24;1042217.38
Restaurant 1438;Suburban;Japanese;4.2;65;68.7;2233;24868;17;232;16.717.033.366.413.800;5.1;2.4;No;17;3;1005125.4
Restaurant 1439;Suburban;Mexican;4.8;63;31.3;2738;34937;8;630;125.625.651.815.343;1.2;6.5;Yes;16;11;451655.05
Restaurant 1440;Suburban;French;4.7;69;55.47;3020;36194;19;768;9.769.322.780.765.530;4.7;7.1;No;8;3;871593.04
Restaurant 1441;Suburban;Indian;4.8;51;36.71;2137;25389;11;671;6.354.273.896.897.740;3.6;1.8;Yes;14;22;430852.5
Restaurant 1442;Suburban;Italian;3.5;58;50.76;1864;25326;14;331;6.716.339.360.770.780;1.9;1.3;No;28;37;668377.22
Restaurant 1443;Rural;Italian;3.1;32;53.62;845;12965;18;380;1.935.417.315.945.030;1.1;2.3;No;3;5;398573.67
Restaurant 1444;Downtown;American;3.5;75;35.32;6523;65624;5;104;9.406.548.952.070.260;1.4;9.1;Yes;74;57;608281.62
Restaurant 1445;Rural;American;3.6;34;43.59;2122;25279;12;162;26.290.427.385.020.800;9.5;7.1;Yes;23;32;352039.54
Restaurant 1446;Downtown;Mexican;4.8;83;30.73;7242;82164;16;262;1.991.179.549.478.530;7.7;9.3;No;11;34;599957.26
Restaurant 1447;Rural;Indian;4.3;44;34.08;1425;17351;16;95;26.622.163.946.306.100;9.5;7.0;Yes;30;32;357952.89
Restaurant 1448;Suburban;Italian;3.2;67;55.62;2964;30495;14;495;1.568.654.580.648.750;2.0;9.7;No;43;5;845592.77
Restaurant 1449;Downtown;Italian;3.3;86;46.76;5008;51898;7;119;19.894.424.875.043.300;6.1;5.0;Yes;19;6;904741.74
Restaurant 1450;Downtown;Italian;3.3;78;50.95;3617;40151;9;231;18.135.707.578.560.400;1.7;6.4;Yes;5;20;892546.7
Restaurant 1451;Rural;Italian;4.3;48;48.53;3063;35006;3;949;29.666.918.741.583.100;1.2;6.4;Yes;44;14;528004.9
Restaurant 1452;Rural;Japanese;4.5;38;70.8;2047;29642;14;222;2.492.049.733.108.190;5.2;1.0;No;4;1;611648.2
Restaurant 1453;Downtown;Indian;4.7;85;36.08;8689;96335;1;553;19.885.002.054.879.600;6.8;1.2;Yes;58;66;700059.37
Restaurant 1454;Rural;French;4.9;35;55.98;2396;24505;14;359;20.164.649.732.740.100;1.6;2.3;Yes;13;11;451917.47
Restaurant 1455;Rural;French;3.4;37;62.27;1177;19911;18;258;11.220.042.816.434.700;4.3;5.6;No;14;14;532544.42
Restaurant 1456;Rural;Mexican;3.6;32;31.98;2849;28788;3;998;2.336.882.358.549.410;1.8;4.9;No;16;29;239613.84
Restaurant 1457;Suburban;Japanese;3.5;54;73.46;2129;27727;6;272;2.957.082.157.422.410;4.3;5.9;Yes;14;32;888340.97
Restaurant 1458;Suburban;Italian;3.7;56;46.0;3297;35240;4;989;8.235.782.638.661.930;5.2;8.2;No;24;45;586703.5
Restaurant 1459;Rural;Italian;4.8;30;48.27;2768;30906;1;392;20.931.529.949.227.400;4.0;8.4;Yes;10;28;332649.46
Restaurant 1460;Rural;American;4.2;50;42.15;3738;41365;3;657;17.947.033.038.007.300;6.2;9.8;No;13;12;482585.5
Restaurant 1461;Suburban;American;4.5;53;36.5;2026;24334;18;169;2.626.027.981.727.670;6.3;6.0;No;27;12;453822.7
Restaurant 1462;Suburban;Mexican;4.0;65;32.45;2532;24710;3;597;50.011.717.447.901.600;4.0;4.1;Yes;57;58;478935.0
